Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_SE,NLLH_DistNet_mean,NLLH_DistNet_SE,CRPS_TabPFN_mean,CRPS_TabPFN_SE,CRPS_DistNet_mean,CRPS_DistNet_SE,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_SE,Wasserstein_DistNet_mean,Wasserstein_DistNet_SE,KS_TabPFN_mean,KS_TabPFN_SE,KS_DistNet_mean,KS_DistNet_SE
clasp_factoring,32,-0.0589,0.0035,0.5833,0.0037,0.0066,0.0,0.0202,0.0001,0.0062,0.0,0.0554,0.0004,0.2849,0.0015,0.5203,0.0013
clasp_factoring,64,-0.1153,0.003,0.5549,0.0049,0.0064,0.0,0.023,0.0002,0.0055,0.0,0.0659,0.0008,0.2708,0.0015,0.501,0.0017
clasp_factoring,128,-0.16,0.0026,0.4362,0.0061,0.0062,0.0,0.0289,0.0005,0.005,0.0,0.0903,0.0017,0.2558,0.0014,0.4312,0.002
clasp_factoring,256,-0.1867,0.0024,0.2434,0.0063,0.0061,0.0,0.0242,0.0005,0.0048,0.0,0.0707,0.0018,0.2477,0.0014,0.3636,0.002
clasp_factoring,512,-0.2019,0.0023,0.1476,0.0058,0.0061,0.0,0.0207,0.0004,0.0046,0.0,0.0575,0.0015,0.2431,0.0014,0.339,0.002
clasp_factoring,1024,-0.2134,0.0022,-0.1045,0.0031,0.0061,0.0,0.0064,0.0,0.0045,0.0,0.006,0.0,0.2386,0.0014,0.2693,0.0015
clasp_factoring,2048,-0.2181,0.0021,-0.1402,0.0029,0.006,0.0,0.0062,0.0,0.0045,0.0,0.0052,0.0,0.2371,0.0014,0.2579,0.0015
clasp_factoring,4096,-0.2165,0.0022,-0.1495,0.0029,0.0061,0.0,0.0062,0.0,0.0045,0.0,0.0051,0.0,0.2391,0.0014,0.2544,0.0015
clasp_factoring,8192,-0.215,0.0021,-0.1597,0.0026,0.0061,0.0,0.0061,0.0,0.0046,0.0,0.0049,0.0,0.2402,0.0013,0.2515,0.0015
clasp_factoring,10192,-0.2126,0.002,-0.1615,0.0026,0.0061,0.0,0.0061,0.0,0.0046,0.0,0.0049,0.0,0.241,0.0013,0.2517,0.0015
clasp_factoring,12192,-0.2109,0.002,-0.1639,0.0025,0.0061,0.0,0.0061,0.0,0.0046,0.0,0.0049,0.0,0.2417,0.0013,0.25,0.0015
lpg-zeno,32,-1.0871,0.0022,-0.078,0.0044,0.189,0.0003,0.5894,0.0022,0.163,0.0007,1.0304,0.004,0.2578,0.0009,0.5653,0.0012
lpg-zeno,64,-1.1964,0.0014,-0.0397,0.0053,0.1769,0.0002,0.6897,0.0031,0.1275,0.0005,1.2384,0.0062,0.2148,0.0007,0.561,0.0013
lpg-zeno,128,-1.2396,0.0012,-0.1654,0.0059,0.1711,0.0002,0.6549,0.0035,0.1068,0.0004,1.2156,0.0078,0.1891,0.0006,0.5005,0.0014
