Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_std,NLLH_DistNet_mean,NLLH_DistNet_std,CRPS_TabPFN_mean,CRPS_TabPFN_std,CRPS_DistNet_mean,CRPS_DistNet_std,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_std,Wasserstein_DistNet_mean,Wasserstein_DistNet_std,KS_TabPFN_mean,KS_TabPFN_std,KS_DistNet_mean,KS_DistNet_std
clasp_factoring,32,-0.0589,0.3456,0.5833,0.3713,0.0066,0.0025,0.0202,0.0104,0.0062,0.0038,0.0554,0.0431,0.2849,0.1537,0.5203,0.1349
clasp_factoring,64,-0.1153,0.2968,0.5549,0.4931,0.0064,0.0023,0.023,0.0198,0.0055,0.0036,0.0659,0.0798,0.2708,0.1499,0.501,0.17
clasp_factoring,128,-0.16,0.2578,0.4362,0.6085,0.0062,0.0022,0.0289,0.0459,0.005,0.0033,0.0903,0.1708,0.2558,0.142,0.4312,0.2017
clasp_factoring,256,-0.1867,0.2392,0.2434,0.6286,0.0061,0.0021,0.0242,0.0484,0.0048,0.0032,0.0707,0.1767,0.2477,0.1371,0.3636,0.2014
clasp_factoring,512,-0.2019,0.2319,0.1476,0.5815,0.0061,0.0021,0.0207,0.0412,0.0046,0.0032,0.0575,0.1493,0.2431,0.1365,0.339,0.2032
clasp_factoring,1024,-0.2134,0.2185,-0.1045,0.3141,0.0061,0.0021,0.0064,0.0024,0.0045,0.0032,0.006,0.0046,0.2386,0.1355,0.2693,0.1519
clasp_factoring,2048,-0.2181,0.2128,-0.1402,0.2851,0.006,0.002,0.0062,0.0022,0.0045,0.0032,0.0052,0.0035,0.2371,0.1352,0.2579,0.1492
clasp_factoring,4096,-0.2165,0.2198,-0.1495,0.2909,0.0061,0.0021,0.0062,0.0022,0.0045,0.0032,0.0051,0.0034,0.2391,0.1357,0.2544,0.1498
clasp_factoring,8192,-0.215,0.2105,-0.1597,0.2591,0.0061,0.0021,0.0061,0.0022,0.0046,0.0032,0.0049,0.0033,0.2402,0.1334,0.2515,0.1498
clasp_factoring,10192,-0.2126,0.203,-0.1615,0.258,0.0061,0.0021,0.0061,0.0022,0.0046,0.0032,0.0049,0.0033,0.241,0.1318,0.2517,0.1485
clasp_factoring,12192,-0.2109,0.2009,-0.1639,0.2543,0.0061,0.0021,0.0061,0.0022,0.0046,0.0033,0.0049,0.0033,0.2417,0.1301,0.25,0.1491
lpg-zeno,32,-1.0871,0.3167,-0.078,0.6184,0.189,0.0489,0.5894,0.3095,0.163,0.0991,1.0304,0.5631,0.2578,0.1296,0.5653,0.1634
lpg-zeno,64,-1.1964,0.1966,-0.0397,0.7491,0.1769,0.0346,0.6897,0.4345,0.1275,0.0747,1.2384,0.8792,0.2148,0.1053,0.561,0.1799
lpg-zeno,128,-1.2396,0.1766,-0.1654,0.8412,0.1711,0.0301,0.6549,0.4982,0.1068,0.0612,1.2156,1.1094,0.1891,0.0909,0.5005,0.2011
lpg-zeno,256,-1.2789,0.1475,-0.2882,0.8859,0.1674,0.0272,0.6144,0.5591,0.0926,0.0521,1.1117,1.2453,0.1684,0.079,0.4566,0.2176
lpg-zeno,512,-1.3006,0.1383,-0.6385,0.7691,0.1654,0.0264,0.4233,0.4673,0.0834,0.047,0.6675,1.0033,0.1556,0.0718,0.3714,0.2131
lpg-zeno,1024,-1.317,0.1332,-0.9532,0.5701,0.164,0.0264,0.2713,0.3557,0.0768,0.044,0.338,0.7741,0.1458,0.067,0.2607,0.1631
lpg-zeno,2048,-1.3251,0.1282,-1.0804,0.4568,0.1634,0.0261,0.2251,0.2858,0.0735,0.0422,0.2235,0.5951,0.1407,0.0643,0.2091,0.1296
lpg-zeno,4096,-1.3286,0.1266,-1.1818,0.1739,0.1631,0.0261,0.1699,0.0551,0.0724,0.0415,0.1048,0.1175,0.1386,0.0625,0.1807,0.0774
lpg-zeno,8192,-1.3302,0.1245,-1.1967,0.1435,0.163,0.0262,0.1675,0.0245,0.0723,0.0416,0.0982,0.0395,0.1383,0.062,0.175,0.0701
lpg-zeno,10192,-1.3292,0.1239,-1.2007,0.14,0.1632,0.0262,0.1671,0.0242,0.0734,0.0425,0.0971,0.0377,0.1391,0.0626,0.1731,0.068
lpg-zeno,12192,-1.3293,0.1229,-1.2017,0.1382,0.1632,0.026,0.1671,0.0241,0.0736,0.0423,0.0967,0.0374,0.1391,0.0622,0.1729,0.0681
saps-CVVAR,32,-0.4093,1.2537,11.9421,9.833,0.0234,0.096,0.4283,0.4005,0.0318,0.1074,0.628,0.5187,0.2938,0.1831,0.9385,0.1653
saps-CVVAR,64,-0.5194,0.8978,13.5443,8.9024,0.022,0.0937,0.6822,0.5543,0.0282,0.0995,0.9744,0.7056,0.2631,0.1751,0.9546,0.1432
saps-CVVAR,128,-0.5768,0.8973,7.5908,4.7189,0.0214,0.0925,0.8132,0.6014,0.0267,0.0979,1.319,0.8797,0.2443,0.1692,0.9436,0.1563
saps-CVVAR,256,-0.6156,0.8392,2.3075,1.0892,0.021,0.0918,0.8229,0.5938,0.0254,0.0966,2.0882,1.3751,0.2256,0.166,0.7997,0.166
saps-CVVAR,512,-0.6327,0.8002,1.9513,1.1044,0.0207,0.091,0.6795,0.6827,0.0248,0.0959,1.9319,1.7529,0.2198,0.1625,0.7104,0.1644
saps-CVVAR,1024,-0.6503,0.7032,0.4066,1.4703,0.0204,0.0902,0.208,0.64,0.0246,0.0951,0.5395,1.6378,0.2134,0.161,0.4747,0.2085
saps-CVVAR,2048,-0.658,0.6866,-0.3813,1.126,0.0203,0.0897,0.0775,0.3429,0.0244,0.0947,0.1746,0.8398,0.2111,0.1596,0.2824,0.1924
saps-CVVAR,4096,-0.6592,0.7213,-0.5266,0.8509,0.0202,0.0892,0.0211,0.0839,0.0243,0.0943,0.0323,0.1043,0.2071,0.1597,0.2469,0.1727
saps-CVVAR,8192,-0.6577,0.8334,-0.5902,0.7627,0.0202,0.0888,0.0197,0.0821,0.0242,0.094,0.0273,0.0919,0.2059,0.1589,0.2287,0.1559
saps-CVVAR,10192,-0.6578,0.8122,-0.5918,0.7792,0.0202,0.0887,0.0197,0.0818,0.0243,0.0939,0.0274,0.0916,0.206,0.1588,0.228,0.1554
saps-CVVAR,12192,-0.656,0.8572,-0.5934,0.7572,0.0202,0.0885,0.0197,0.0823,0.0243,0.0939,0.0271,0.0917,0.2061,0.159,0.2264,0.1559
spear_qcp,32,0.1769,0.3346,5.8397,5.9208,0.7226,0.2467,2.4739,1.0388,0.7308,0.4517,3.0267,1.2246,0.2962,0.1539,0.7939,0.1934
