Model,Scenario,NLLH,CRPS,Wasserstein,KS
DistNet,clasp_factoring,16384,16384,16384,16384
DistNet,lpg-zeno,131072,131072,131072,131072
DistNet,saps-CVVAR,65536,16384,16384,65536
DistNet,spear_qcp,131072,131072,131072,131072
DistNet,spear_swgcp,131072,131072,131072,65536
DistNet,yalsat_qcp,131072,131072,131072,131072
DistNet,yalsat_swgcp,131072,131072,131072,131072
TabPFN,clasp_factoring,2048,2048,2048,2048
TabPFN,lpg-zeno,8192,8192,8192,8192
TabPFN,saps-CVVAR,4096,65536,8192,8192
TabPFN,spear_qcp,8192,8192,8192,8192
TabPFN,spear_swgcp,8192,8192,8192,8192
TabPFN,yalsat_qcp,16384,65536,16384,16384
TabPFN,yalsat_swgcp,8192,8192,4096,16384
